6.13389430 19.99280832 2.46492248 1.09386814 1.51577810 0.86815241 5.77902982 0.53608818 2.11410918 3.61515754 1.46139933 1.03926633 3.22345874 47.01564762 11.35686864 14.58588079 1.49158699 7.48401320 78.43327195 24.55004324 2.76610678 3.23288737 4.51736038 2.06438251 4.82323003 1.12018320 6.77413190 34.21408678 5.10249841 1.80042161 
2.18471684 1.83540410 1.46646699 0.62402282 1.49625093 0.70000706 5.04974517 0.33158663 1.59880719 2.22088218 1.08476196 0.95112476 2.63976813 46.54384971 11.14189824 4.76691866 1.23964029 1.84606311 9.54845220 24.49548078 2.06122240 3.23288737 4.51571867 1.42033266 4.78533536 0.60699310 2.58112179 27.02287787 3.76015215 1.72465552 
1.67809057 0.86601960 0.77943062 0.23289813 1.46743005 0.61635070 4.91602590 0.27977082 1.43915754 2.20599379 0.74210809 0.45504907 2.07581525 46.38735241 2.42299962 4.48905320 1.18830553 1.44785731 5.65808946 1.62752260 1.40243201 1.58354134 4.51560893 1.06563331 4.70992173 0.16921498 1.21383242 1.80144624 3.46306598 1.56245183 
1.64628430 0.71229213 0.68121175 0.08551923 1.46408628 0.57906121 4.80697753 0.16016887 1.41162430 2.20585085 0.52188564 0.41326832 1.89479653 46.05700449 1.42483521 4.41384146 1.00905629 1.10845385 5.57344213 1.34934838 1.09046119 0.85313762 4.51510739 1.06168576 4.66756564 0.08913164 1.20327295 1.65225791 2.69131922 1.55309398 
1.17921058 0.64962033 0.67752158 0.07665710 1.46182674 0.46581816 4.73339632 0.14260223 1.41045908 2.20583978 0.20509641 0.38721899 1.28225106 6.15474885 1.22238610 4.23729927 0.64572388 0.94202036 5.56905639 0.90223548 1.03855301 0.77101382 4.51506407 1.04070567 4.61007228 0.08764470 1.14960823 1.03408383 2.53617834 1.55029130 
1.14610113 0.64888282 0.67721784 0.07462767 1.46171856 0.45591866 4.71300837 0.14256143 1.41035503 2.20583863 0.10259692 0.07655964 1.13533708 5.16595570 1.16823343 0.72746977 0.55618797 0.93632510 5.56469257 0.74643245 1.03399430 0.67432355 4.51506194 1.02178624 1.26404517 0.08686159 1.09178858 0.67992778 2.04610402 1.54968333 
1.14605803 0.64887817 0.67718150 0.07325746 1.46134325 0.45585165 1.47650354 0.14255950 1.41035124 2.20583791 0.05066276 0.01048215 0.54572686 4.91834956 1.16466140 0.51303965 0.52570232 0.93632129 2.95722895 0.72376907 1.03386879 0.62553373 0.58287255 0.96208726 1.24418868 0.08682680 1.08965859 0.67599626 1.55525128 0.97187417 
0.13543026 0.64887735 0.67714308 0.07317622 1.46133496 0.45577675 1.46757195 0.14255690 1.41035123 0.85877638 0.00236580 0.01048178 0.54489722 4.73979708 0.17736009 0.51156433 0.51412393 0.17210406 1.69329058 0.70150057 0.02566369 0.62419884 0.05769282 0.35012025 0.74514574 0.08682527 1.08902843 0.67595221 1.54152177 0.90640985 
0.08164077 0.32416472 0.67711169 0.07317619 1.46114064 0.45575295 0.32199266 0.14253681 0.09995467 0.23887504 0.00205709 0.01048177 0.47505635 1.23469955 0.03789624 0.51156432 0.51399367 0.08187106 0.46449391 0.63990280 0.00681255 0.62419262 0.05756763 0.35011997 0.74514063 0.08612864 1.08902748 0.67595011 0.69473162 0.90640429 
0.08149818 0.01857834 0.14999574 0.03638403 0.55447903 0.12051313 0.00837420 0.14223840 0.08891987 0.23877868 0.00205502 0.01028402 0.04538125 0.04840609 0.03789257 0.51053526 0.51159736 0.08185700 0.38782609 0.63938607 0.00681071 0.00138523 0.04080056 0.07196867 0.32011115 0.08601924 0.59508496 0.67594356 0.04830840 0.00913889 
0.00130651 0.01857641 0.14999532 0.01236599 0.29198933 0.12051252 0.00352024 0.14223838 0.08888265 0.23877619 0.00097508 0.01027135 0.04538007 0.04738488 0.02914057 0.00032414 0.15696614 0.00003777 0.00126314 0.60840235 0.00321773 0.00014205 0.00081176 0.00386262 0.00343274 0.07800771 0.17473475 0.16040345 0.04738386 0.00782188 
